cod_uf,nome_uf,sigla,thom12,trouv12,pol12,polpc12,tpol12,bomb12,bombpc12,tbomb12,pop12,despolpc12,defcivpc12,educ12,bfpc12,ricpob12,theil12,renda12
12,Acre,AC,23.3,88.1,"4,631",0.006,605,319,0.0004,42,766000,298.1165219,46.22903007,7.0,0.092387728,20.33,0.625,723.16
27,Alagoas,AL,64.4,547.7,"14,031",0.004,427,"1,307",0.0004,40,3284000,157.0985021,3.548971224,5.5,0.132847138,14.14,0.528,530.14
16,Amapá,AP,23.5,89.1,"6,552",0.009,906,866,0.0012,120,723000,10.85275982,3.891635076,8.1,0.073882434,16.59,0.539,765.97
13,Amazonas,AM,30.2,739.8,"15,027",0.004,400,529,0.0001,14,3757000,39.22326146,12.05182028,7.7,0.088505723,15.47,0.508,651.92
29,Bahia,BA,41.5,435.9,"52,054",0.003,348,"2,242",0.0001,15,14977000,19.70692911,0.294904468,6.3,0.120741537,18.83,0.636,665.73
23,Ceará,CE,41.5,293.6,"21,842",0.003,250,"1,537",0.0002,18,8731000,32.49614652,1.657354359,6.1,0.126790631,17.23,0.570,627.39
53,Distrito Federal,DF,30.9,289.9,"24,259",0.009,886,"5,775",0.0021,211,2739000,17.25390302,0.014748631,9.9,0.03649142,25.11,0.643,"1,937.43"
32,Espírito Santo,ES,46.4,276.5,"13,828",0.004,364,"1,111",0.0003,29,3803000,20.02877716,1.318676361,7.8,0.052925059,13.34,0.483,"1,072.61"
52,Goiás,GO,39.4,243.5,"21,182",0.003,333,"2,668",0.0004,42,6365000,19.24806274,1.037864522,7.7,0.054732914,11.83,0.480,"1,046.47"
21,Maranhão,MA,22.3,138.2,"14,261",0.002,211,"1,150",0.0002,17,6743000,22.09643742,3.59392892,5.7,0.14112576,26.16,1.313,578.75
51,Mato Grosso,MT,30.4,175.7,"12,290",0.004,390,963,0.0003,31,3149000,18.53607249,2.638261175,7.4,0.058649095,14.34,0.719,"1,109.38"
50,Mato Grosso do Sul,MS,22.7,77.2,"10,174",0.004,397,"1,388",0.0005,54,2563000,339.0967408,12.65498277,7.7,0.055500975,12.73,0.455,"1,151.65"
31,Minas Gerais,MG,19.8,59.0,"68,579",0.003,335,"5,316",0.0003,26,20482000,11.66930347,3.600632904,7.3,0.058453276,13.59,0.537,"1,021.30"
15,Pará,PA,39.0,254.7,"22,428",0.003,284,"3,045",0.0004,39,7885000,12.80006414,1.812705373,6.6,0.10315371,14.11,0.509,612.63
25,Paraíba,PB,39.7,51.3,"14,667",0.004,377,"1,216",0.0003,31,3889000,3.853981597,0.89596695,6.3,0.130170738,15.48,0.581,681.95
41,Paraná,PR,29.6,148.7,"26,187",0.002,239,"2,850",0.0003,26,10935000,173.0497603,10.45897903,7.8,0.041133425,12.41,0.484,"1,201.16"
26,Pernambuco,PE,35.3,316.5,"34,775",0.004,380,"2,872",0.0003,31,9152000,153.5527007,38.48528953,6.6,0.12579906,15.28,0.514,660.39
22,Piauí,PI,15.5,148.7,"8,730",0.003,275,325,0.0001,10,3175000,9.800393591,5.3534616,5.6,0.142916535,15.95,0.728,669.84
33,Rio de Janeiro,RJ,25.1,423.3,"77,108",0.005,473,,0.0000,0,16304000,31.49693033,4.022544738,8.7,0.048443756,16.31,0.578,"1,213.84"
24,Rio Grande do Norte,RN,29.6,378.2,"4,215",0.001,126,588,0.0002,18,3347000,144.2188171,10.83316584,6.8,0.108978488,16.29,0.567,756.94
43,Rio Grande do Sul,RS,19.3,218.5,"38,468",0.003,345,"2,217",0.0002,20,11136000,27.08460643,0.344792601,7.7,0.041623473,12.33,0.466,"1,214.96"
11,Rondônia,RO,30.4,178.7,"10,290",0.006,601,644,0.0004,38,1712000,313.7761102,30.90098683,6.9,0.068811916,13.45,0.450,851.95
14,Roraima,RR,13.6,51.2,"3,446",0.007,715,279,0.0006,58,482000,19.67991851,2.628240062,8.6,0.098139004,17.21,0.594,852.19
42,Santa Catarina,SC,11.7,59.5,"15,088",0.002,230,"2,213",0.0003,34,6562000,8.200816909,0.360830623,8.1,0.02240826,9.03,0.367,"1,283.49"
35,São Paulo,SP,12.4,374.6,"179,952",0.004,415,"8,925",0.0002,21,43387000,168.0611523,1.634516868,8.7,0.028909212,12.68,0.541,"1,338.02"
28,Sergipe,SE,38.0,226.5,"9,616",0.004,442,623,0.0003,29,2177000,199.7159836,29.81319289,6.4,0.123256775,16.26,0.672,732.80
17,Tocantins,TO,21.3,29.9,"7,954",0.005,543,433,0.0003,30,1464000,14.08821495,3.483871236,6.9,0.095416667,15.82,0.597,799.05
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
